brand,country,medium,headline,industry
,China,Print,avoid your awkwardness,Office equipment
INPES,France,Print,well done you are now one of the few who are not afraid to get close to an hiv positive person,Public interest & Non-profit
Free The Words,,Direct Market,for half the countries in the world freedom of expression is still just an illusion,Public interest & Non-profit
Kids Company,United Kingdom,Print,your signature can help protect a child,Public interest & Non-profit
,China,Print,zi qiang chuang hui huangto be strong is to create a great future claimif you can think thisyou should do it a campaign for the zi qiang chuang hui huang,Public interest & Non-profit
Odell Brewing Co,United States,Print,dive bar approved,Alcoholic drinks
Conectando Destinos,Argentina,Print,low season flights,Transport & Tourism
Carphone Warehouse,United Kingdom,Ambient & Interactive,why spend more this valentines day,Retail & Distribution
Caribe Comp,Honduras,Print,secrets well kept samsung 320gb,Electronics & Audio-Visual
Surfrider Foundation,Brazil,Print,help us to avoid this,Public interest & Non-profit
Hipoglos,Brazil,Print,baby rash cream hipoglós nothing interrupts your movie anymore,Pharmaceutical
Racco,Brazil,Print,ciclos dracco antiage,Beauty & Health
Aliança Francesa,Brazil,Print,prepare for major accomplishments alliance française now also for kids,Education
Vodafone,Australia,Print,winners of the 2008 v8 supercar team championship the 2008 supercar drivers championship and a third consecutive bathurst title teamvodafone officially the fastest team in australia,Electronics & Audio-Visual
,France,Print,2003 stock prices of us oil companies understand the economy understand the world,Media & Publishing
,Australia,Print,download over 500000 tracks on bigpond,Professional & Public services
,,Print,bureaucracy kills nature,Public interest & Non-profit
Tonocal,Uruguay,Print,equations and algebraic expressions studying is easier tonocal strengthen your intellectual performance,Pharmaceutical
Bridgestone,Thailand,TV & Cinema,designed to save lives,Automotive & Services
ING,United Kingdom,TV & Cinema,a decent way to do banking,Financial & Legal services
Durex,Thailand,Print,durex play lubricant,Beauty & Health
,India,Print,every colour tells a story,Industrial & Agricultural
Döhler,Brazil,Print,look out daisies violetes and roses hummingbirds are irresistible do it neatly embroider with dohler,"House, Garden & Pets"
Bosch,Turkey,Print,bosch ixo reaches even the hardest places,Industrial & Agricultural
TOYOTECNO,Japan,Outdoor,gentlemen…if you stand up clean up,"House, Garden & Pets"
Axe/Lynx,Colombia,Print,the axe users manual supports it an important study performed in scandinavia warns that in 200 years natural blonds could get extinguished  so use axe bodyspray in every part of your body and pick as many blonds up as you can because then it will be too late dyedhair women dont count axe mark them the way correctly,Beauty & Health
International Society for Human Rights,Germany,Print,experts examine contaminated ground at guantanamo bay naval base authorities suspect soil pollution as main cause of frequent illnesses thanks to press freedom you know better,Public interest & Non-profit
TV Globo,Brazil,Print,none fighter is born ready from this sunday vitor belfort and wanderlei silva will show how to make true fighters,"Culture, Recreation & Sport"
GM - General Motors,China,Print,safetys highest standard depends how demanding you are take precaution buick commercial station wagon has the highest safety rating two ads to bring out the innovative part of the new station wagon,Automotive & Services
,Italy,Print,we help people to get their identity back,Public interest & Non-profit
,Colombia,Print,bad eating habits increase the risks of cardio vascular diseases asociación colombia de hipertensión arterial y factores de riesgo cardiovascular,Public interest & Non-profit
UNDP,Georgia,Print,the quantity is limited donate to maintain endangered animal species in georgia,Professional & Public services
Philips,United Arab Emirates,Ambient & Interactive, go pro  red bull  the adventure pair  copy go pro and red bull have one thing in common adventure they have successfully cobranded their partnership in  extreme sports and stunts most notably in recent times with project stratos the felix baumgartner jump from a space pod more than 24 miles above the earths surface with a go pro camera strapped to his person backed by energy drink red bull watched  by millions across the world he set three world records that day while also redefining the boundaries of human potential and creating a historic brand recall for both brands,Electronics & Audio-Visual
Commerzbank,Ukraine,Print,punk german style banking german style,Financial & Legal services
,China,Print,the 24hourroute n will take you where you can have the best angle of the moon in the midautumn festival which is a chinese full moon festival visual it uses a bus stop signage facing the full moon to symbolize the globe,Professional & Public services
Rabota.ru,Russia,Outdoor,dismissal its not scary anymore,Professional & Public services
Fundación Alia2,Spain,Print,if your kids surf the net alone they may not be fundación alia2 for the protection of minors in cyberspace,Public interest & Non-profit
Flower Cell,South Korea,TV & Cinema,your beauty is it in bloom the strength of the edelweiss life force makes you bloom its skin flower cell,Beauty & Health
,,Print,dont risk sounding ridiculous in spanish,Education
,Philippines,Print,forget it about it bad english is bad for business wwwenglishiscoolorg joint csr project of european chamber of commerce of the philippines and eon the stakeholder relations firm,Education
Society for Community,China,Print,hong kong ranked as the most livable city by the economist over 100000 people live in cubicle apartments in hong kong divided up from already small apartments these rooms are only about 40 square feet  from resting to cooking all activities take place in these tiny spaces while our city seems prosperous many people still live in unacceptable conditions please scan the qr code and send your petition to the government find out more at socoorghk and make a change,Public interest & Non-profit
PTE Plague Exterminator,Peru,Print,when we say all of them we mean all of them,"House, Garden & Pets"
Stella Artois,United Kingdom,TV & Cinema,smoothoriginalscom,Alcoholic drinks
EL AL,Israel,Print,fall asleep in tel aviv wake up in south america,Transport & Tourism
Samsung,China,Print,bound for taipei right nowpurchase a samsung x10 or x05 notebook computerand get one free return air ticket to taipeisending you to taipei in no time,Electronics & Audio-Visual
Toyota,United States,Print,a single superhighway that stretches the globe exits in ny la madrid tokyo and all that lies between its far from reality but the car that could travel it on only 47 tanks is not the 2010 camry hybrid with a combined 34 mpg rating can get up to 526 miles on one fillup thats the entire circumference of the earth on a mere 47 tanks embrace tomorrow in the 2010 camry hybrid learn more at toyotacom,Automotive & Services
